observation_date,DBAA
1986-01-01,11.44
1986-02-01,11.11
1986-03-01,10.50
1986-04-01,10.19
1986-05-01,10.29
1986-06-01,10.34
1986-07-01,10.16
1986-08-01,10.18
1986-09-01,10.20
1986-10-01,10.24
1986-11-01,10.07
1986-12-01,9.97
1987-01-01,9.72
1987-02-01,9.65
1987-03-01,9.61
1987-04-01,10.04
1987-05-01,10.51
1987-06-01,10.52
1987-07-01,10.61
1987-08-01,10.80
1987-09-01,11.31
1987-10-01,11.62
1987-11-01,11.23
1987-12-01,11.29
1988-01-01,11.07
1988-02-01,10.62
1988-03-01,10.57
1988-04-01,10.90
1988-05-01,11.04
1988-06-01,11.00
1988-07-01,11.11
1988-08-01,11.21
1988-09-01,10.90
1988-10-01,10.41
1988-11-01,10.48
1988-12-01,10.65
1989-01-01,10.65
1989-02-01,10.61
1989-03-01,10.67
1989-04-01,10.61
1989-05-01,10.46
1989-06-01,10.03
1989-07-01,9.87
1989-08-01,9.88
1989-09-01,9.91
1989-10-01,9.81
1989-11-01,9.81
1989-12-01,9.82
1990-01-01,9.94
1990-02-01,10.14
1990-03-01,10.21
1990-04-01,10.30
1990-05-01,10.41
1990-06-01,10.22
1990-07-01,10.20
1990-08-01,10.41
1990-09-01,10.64
1990-10-01,10.74
1990-11-01,10.62
1990-12-01,10.43
1991-01-01,10.45
1991-02-01,10.07
1991-03-01,10.09
1991-04-01,9.94
1991-05-01,9.86
1991-06-01,9.96
1991-07-01,9.89
1991-08-01,9.65
1991-09-01,9.51
1991-10-01,9.49
1991-11-01,9.45
1991-12-01,9.26
1992-01-01,9.13
1992-02-01,9.23
1992-03-01,9.25
1992-04-01,9.21
1992-05-01,9.13
1992-06-01,9.05
1992-07-01,8.84
1992-08-01,8.65
1992-09-01,8.62
1992-10-01,8.84
1992-11-01,8.96
1992-12-01,8.81
1993-01-01,8.67
1993-02-01,8.39
1993-03-01,8.15
1993-04-01,8.14
1993-05-01,8.21
1993-06-01,8.07
1993-07-01,7.93
1993-08-01,7.60
1993-09-01,7.34
1993-10-01,7.31
1993-11-01,7.66
1993-12-01,7.69
1994-01-01,7.65
1994-02-01,7.76
1994-03-01,8.13
1994-04-01,8.52
1994-05-01,8.62
1994-06-01,8.65
1994-07-01,8.80
1994-08-01,8.74
1994-09-01,8.98
1994-10-01,9.20
1994-11-01,9.32
1994-12-01,9.10
1995-01-01,9.08
1995-02-01,8.85
1995-03-01,8.70
1995-04-01,8.60
1995-05-01,8.20
1995-06-01,7.90
1995-07-01,8.04
1995-08-01,8.19
1995-09-01,7.93
1995-10-01,7.75
1995-11-01,7.68
1995-12-01,7.49
1996-01-01,7.47
1996-02-01,7.63
1996-03-01,8.04
1996-04-01,8.20
1996-05-01,8.30
1996-06-01,8.40
1996-07-01,8.35
1996-08-01,8.18
1996-09-01,8.35
1996-10-01,8.07
1996-11-01,7.79
1996-12-01,7.89
1997-01-01,8.10
1997-02-01,7.94
1997-03-01,8.18
1997-04-01,8.34
1997-05-01,8.20
1997-06-01,8.02
1997-07-01,7.75
1997-08-01,7.82
1997-09-01,7.71
1997-10-01,7.57
1997-11-01,7.42
1997-12-01,7.33
1998-01-01,7.20
1998-02-01,7.26
1998-03-01,7.32
1998-04-01,7.33
1998-05-01,7.30
1998-06-01,7.13
1998-07-01,7.15
1998-08-01,7.14
1998-09-01,7.09
1998-10-01,7.18
1998-11-01,7.34
1998-12-01,7.23
1999-01-01,7.29
1999-02-01,7.39
1999-03-01,7.53
1999-04-01,7.48
1999-05-01,7.72
1999-06-01,8.02
1999-07-01,7.95
1999-08-01,8.15
1999-09-01,8.20
1999-10-01,8.38
1999-11-01,8.15
1999-12-01,8.19
2000-01-01,8.33
2000-02-01,8.29
2000-03-01,8.37
2000-04-01,8.40
2000-05-01,8.90
2000-06-01,8.48
2000-07-01,8.35
2000-08-01,8.26
2000-09-01,8.35
2000-10-01,8.34
2000-11-01,8.28
2000-12-01,8.02
2001-01-01,7.93
2001-02-01,7.87
2001-03-01,7.84
2001-04-01,8.07
2001-05-01,8.07
2001-06-01,7.97
2001-07-01,7.97
2001-08-01,7.85
2001-09-01,8.03
2001-10-01,7.91
2001-11-01,7.81
2001-12-01,8.05
2002-01-01,7.87
2002-02-01,7.89
2002-03-01,8.11
2002-04-01,8.03
2002-05-01,8.09
2002-06-01,7.95
2002-07-01,7.90
2002-08-01,7.58
2002-09-01,7.40
2002-10-01,7.73
2002-11-01,7.62
2002-12-01,7.45
2003-01-01,7.35
2003-02-01,7.06
2003-03-01,6.95
2003-04-01,6.85
2003-05-01,6.38
2003-06-01,6.19
2003-07-01,6.62
2003-08-01,7.01
2003-09-01,6.79
2003-10-01,6.73
2003-11-01,6.66
2003-12-01,6.60
2004-01-01,6.44
2004-02-01,6.27
2004-03-01,6.11
2004-04-01,6.46
2004-05-01,6.75
2004-06-01,6.78
2004-07-01,6.62
2004-08-01,6.46
2004-09-01,6.27
2004-10-01,6.21
2004-11-01,6.20
2004-12-01,6.15
2005-01-01,6.02
